,CommentHead,Comment,Rating
9642,Owsome product,Very gud product. ...go for it,5
9643,Worth the money,Nice...,3
9644,Moderate,Just ok,2
9645,Mind-blowing purchase,Nice,3
9646,Awesome,Gud,5
9647,Value-for-money,Very good,4
9649,Mind-blowing purchase,Amazing.,5
9650,Really Nice,Worthy,4
9651,Best in the market!,Gud h g,5
9652,Three Stars,Just ok product if it's not in discount much don't buy it coz MRP is high n product doesn't go with it.,3
9653,Absolute rubbish!,Quality issues with the product. Cancelled the product 4 times but still struggling to get the refund. No adherence to refund policy of flipkart.,1
9654,Brilliant,NICE PRODUCT ......absolutely flipkart assured..,5
9655,Classy product,"Best racquet for the price, light weight, premium look, graphite body, strings are tight and strong, the cover of the racquet come with sponge protection from inside, and if yo go for other brand like yonex it will cost you more then 2k, so i recommend this to everyone go for it",5
9656,Super!RACKET at an exceptional Compititive PRICE RANGE!!!,"If you are reading this , surely you have a research oriented buying approach.You are a pateincefull and an intelligent buyer. I appreciate you efforts.Wel, i know its hard for you to believe butits cent %  truth that this bedmintion racket is amazingly perfect for you. I suppose you are a learned player and you need a cost effective UPGRADER501 is  a professional level experience giver playing mesh AT CHEAPEST PRICE COMPARED TO ITS COMPITITERS!!!Don't waste your time researching more...",5
9657,Perfect product!,Amazing product for such an affordable price. The built quality is exceptional that too at a well balanced weight. It definitely gives an edge over the playing arena. If your budget is within 1000 it's definitely a intelligent buy.,5
9658,Perfect product!,Awesome racket in this price range with Jointless sturdy frame... Very light weight... for beginner must buy... love this racket.. thank you #Flipkart for making this type of racket in this price :),5
9659,Terrific purchase,This is a very good product.Thank you i love it.it's fabulous I just love it,5
9660,Best in the market!,nice quality worth the price   .... awesome experience . probably the nice one in current racquets,5
9661,Awesome,nice product not nice superb super product for this price 😁 poliya adipoli,5
9662,Classy product,"Writing the review after 10 days of regular heavy usage.Performance- 5/5 :Best in class surprisingly beyond my expectations.Power-  5/5 : As my elder brother said it's amazing in power balance. Specially it's strong graphite body frame provides a superior balance and light weight, which let's us to handle every shot easily.Body & Strung : 5/5 : First about the strung; the strung is tough enough for a semi pro player. Hardened and quality materials.Now about the body : All credits goes to ...",5
9663,Awesome,"Seriously this racquet is best in its quality at this price point ., ultra light weight of 84gms with 23 lbs string tension, this can be compared to yonex nanoray. Complete matte finish gives u a premium feel., Unibody design looks stunning, Bat cover is really spongy and super premiumI recommend it to my friends and around 7 to 8 friends of mine purchased this bat after seeing mine..",5
9664,Worth every penny,very nice racket for intermediate players has a pretty good tension and light weightif you put a grip then it is as accurate as a shooting machine in the court🏸🏸,5
9665,Fair,this is a flexible racket and one cannot get this much flexibility in a racket in this price range but the strings are not so good so i suggest to play a couple of months and then make it restring with a good tention and a good stringoverall the racket is good in this price,3
9666,Very Good,the racket is less weight good for the price but the tension of the string is very low . But considering the prize it is worth of money. Packing and delivery is also good (Review after using it for 1 week).NB: The tension is need to adjusted which will cost around ₹400 extra if need to be played well,4
9667,Just wow!,Satisfied with the flipkaet delivery❤️.Product:- Nice one👌. Good quality. Light balanced weight. Amazing performance. I just loved it.,5
9668,Good quality product,all thing was good but the string of the raquet is losse... all the build quality and service packaging was quite good but the string was losse slightly disappointed from seller plzz check the proper tension of string and then sendd and raquet is good.....😍😍 thankss Flipkart🙏I use yonex grip in the raquet and this was good for beginners,4
9669,Simply awesome,It's awesome. Super racquet for this price range. It's quality is good and it's light weight. The strings are strong and have good tension for nice smash. This is even balanced racquet so good for intermediate and advanced players.,5
9670,Excellent,"PERFECT.!lightweight, balanced, good swing, good firm strings..the pricing is the cherry on the cake!!Always go for flipkart exclusive products like these, they are worth the trust n spend.",5
9671,Perfect product!,Guys..im using yonex nanoray 7000i..I also got this racket...i frankly feel its better than my previous racket..and trust me at this price (850) its best ever...till date....no competetor at this price segment now  ..GOOD TO SEE SOME INDIAN COMPANY RACKET WHICH IS SO GOOD,5
9672,Mind-blowing purchase,"Honestly speaking, if you are beginner or a semi pro player then this racquet is just made for you. I have researched a lot about this thing. You will not find any racquet made up of graphite at this range. Earlier, I have used rackets like Yonex naroray, lining gtex but found out R501 better than those. Design is also amazing (especially the color- matte black). If possible change the gutt as the tension is between 18-20. That's all from my side....be healthy and keep playing 🤗.",5
9673,Must buy!,"about shipping it's super speed. and about the bat it's similar to Yonex nanoray d23, light weight product says 90grm but it's even lighter, the bats need to be re-gutted flexible good for intermediate plays not for professional.tension should be not more than 20",5
9674,Fabulous!,Wonderful racquet.. go for it without any doubt. If you're looking for a racquet under 2000 you can go for it. It is much better than yonex or li-ning at this price range. Happy with this product and Flipkart service.,5
9675,Delightful,Racket real weight is 96gm ..The racket is good ..but i thik its heavy head .if you like attcking play then goo for it ...quality is nice over all its good racket. But racket real weight is 96gm ...and its light heavy ...your shoulder will will little bit,4
9676,Awesome,More reliable according to price best in smashing and controlling on shuttle...if you play at  god level plz go for this ..i am playing badminton from last 5 year at this price this us best,5
9677,Wonderful,"Lovely Raquet. Instead of going for the Yonex GR 303 or ZR101, spend some more money and get this. Better than 303 and 101 for backhand and also is very well strung and lightweight.",5
9678,"Awesome racquet, with additional points to know","Worth every PaiseRacquet is suitable for intermediate played with budget, Doesn't go well if you are about to break your own recordsRacquet is slightly heavy which makes us a little slower to react and spend more energy on hitting the shots.But really worth it till intermediates with budget, ( one can also use it as a spare)",5
9679,Classy product,great racket. i was doubtful about this particular racket but after playing for more than 60 hours i am quite happy to have this racket. i would definitely prefer this over yon ex and Li-ning Badminton. Great job flip kart #Adrenex-R501,5
9680,Wonderful,Good . Flexibility is not at par with other light weight racket like li ning or yonex. Still its worth to buy.,4
9681,Brilliant,Excellent racket got it at 649 good for this price. Light in than li ning xp 80 it was 85grams but it was lighter in weight than it...,5
9682,Classy product,nice one.. head weight is more so good for smash attack.. but if we misses the shot make angle pain.. little bit tough to take backhanded shots..but over all very good in this price.. after some day if you change string it's too good bg 65 is good.. thanks to flipkart..,5
9683,Terrific purchase,awesome just don't think go for it. thanks to Flipkart who provide this . no one will provide with full carbon graphite with advance level in this range. I am so happy my son loving it everyday and me too as I already have 2 bats with different colors . those who don't look for brand rather only go for quality just go for it. don't miss it,5
9684,Really Nice,First day with this racket...Smashes were crisp.. Defence was great... Not great for net play.. Will be even better after after change of strings.. Value for money.. Good job Flipkart...,4
9685,Nice product,Good racket..... Heavy weight 85 to 90 For a smasher good selection.Strung good and tight .Valu for many .Light weight racket user cannot Comfort this one .Head weight .,4
9686,Classy product,This bat is actually really good . If u are a beginner this is way good . Best in this budget . One thing is this a head heavy bat but mentioned as even balance again it's not that too heavy but if u add a grip or 2 u will be good to go ..,5
9687,Very Good,Excellent spring action nice compose nice power good Loooking is excellent,4
9688,Simply awesome,Its really a great product in this range.It was awesome to play the first shot with this racket.Its string are really very tight..I am glad yo have rackets like adernex.,5
9689,Perfect product!,best racquet for lowest price.  frame is awesome and lkght weight but strings looks like low quality but it is good. If we change the strings it will be the best 💖,5
9690,Value-for-money,value for money. Good product. if you're looking for under 2000 bats. it is the best choice. Good quality,4
9691,Excellent,Head weight is little bit high but it is  good for  smashing.. Nice looking.. I Got this.. Rs. 799/- Thak to flipcart such a great quality.. Product..providing...,5
9692,Worth every penny,"light weight, best string tention.. up to 28 lbs... Look was very nice... best value product.., best quality cover., balanced weight... Play drop and smash well need improve in grip... any way... Thank you adrenex",5
9693,Worth the money,"Good product.. definitely xtreme light weight. Best thing is you get carbon single frame at this price level. String tension also  good & sufficient. Comparable with yonex mid range.. however can not comparable with yonex higher range model.. obviously price is many fold high for those yonex higher models.Finally want to say, definitely recommended to buy. Best product in budget.",4
9694,Wonderful,The racket is goodBody-is good I will give 9 out of 10 strings-good and strong I will give 8 out of badminton cover -cover is good but can be more better 6 out of 10,5
9695,Really Nice,"Not Powerful Not A Fast To Much But Build Quality It's Amazing With Affordable Price Full Graphite Badminton A+ Choice In This Price Range, Cover Quality Is 9C String Tension Is 23_25 Somethings Alfter Play String Tension -1/-2 1st Game But Good Defencive Game ****",4
9696,Highly recommended,Good one product for the beginner as well as intermediate players. You can trust this product. This is also good for competitions.,5
9697,Terrific,Good it's is super Now this racket is very great product for this amount Quality vaise racket very very good,5
9698,Decent product,Nice product smooth handling but string is not good but worth for its price value for money,3
9699,Best in the market!,Good product. I like it. In this price the racket is very good .,5
9700,Awesome,You can't get a better racquet than this at this price. Quality is same as yonex:carbonex. A perfect racquet. Thank you Flipkart for such awesome Smartbuy products.,5
9701,Good choice,Strung not good and flexibility not so much.. But it is good for net players it was very nice,4
9702,Terrific purchase,Good racquet.. n good technology is adopted.. it's very nice to play in ground but i think racquet is little weight (90gr) more over worth for money Thank-you. ADRENEX I loved this racquet 😍,5
9703,Wonderful,"Good quality racket , balanced body weight somehow more on head part, more flexible compared to muscle power rackets , bought at 649 This is the best price for this racket and best racket in this price range, string tension is approx 20-21 by default , go for it without any hesitation",5
9704,Excellent,it's very good racquet . I reckon cover is better than racquet it doesn't mean that racquet is not good by quality of cover is very good,5
9705,Brilliant,nice one .. worth the price and it feels very light also the body is strong :-),5
9706,Brilliant,Awesome racquet flipkart it's lightweight and an excellent balanced racquet made both for good smashes and drop it's an excellent racquet at this price range loved it!,5
9707,Super!,great product. better than yonex i have 2 yonex racquet.   worth of 1500 and 1900. but. i find this one more better.   comfortable and. strong.    go for it.  without any doubt,5
9708,Utterly Disappointed,"You could not assure about this product blindly. Product is like 50-50 luck deal, i was buy the same racket in orange color which is still in good working condition but my friends after using one of this I was preety sure about buy a new one and I brought a new one in blue color. As I said its a 50-50 deal my blue rocket's string was broke after using with in 12 days.",1
9709,Brilliant,fabulous racquet . i did not use any racquet like that . so much super . i love it,5
9710,Really Nice,R501-As recommended it's definitely not for a pro. This is a good one for the starters at this price when compared to other leading brands. it's light weight and easy to hold and handle. Not sure about the life time as I bought this few days back alone. I recommend for the occasional players who looks for the reasonable budget.,4
9711,Don't waste your money,Product is not upto the standard to meet the needs of an advanced player..not even for intermediate player..Although product is good for beginners..  but it doesn't support fast games..,1
9712,Very dissapointed flipkart-Wrong details on the product page,Actually please dont buy this....The weight of the racquet is too much to hold even for a intermediate or advanced players.....In the description it says light weight and 90g's but it feels like 98 or more..Overall a racquet with lower price and carbon fiber material is good.But by using this racquet (adrenax r501) ur hands and wrist will be damaged for sure....And other thing to mention is that the quality/finishing is also bad..i played 30 minute with this racquet and it got me muscl...,1
9713,Highly recommended,It is wonder full and super bat. it is weight less i love this  And But dont clash this bat  And. Worth of MONEY,5
9714,Classy product,"PROS:1. Light in weight, Stylish and strong build.2. Excellent grip and comfortable for figures.3. Supreme PerformanceCONS:1.One and only con was low quality colour paint, that easily vanishing.",5
9715,Great product,"Initially I thought it would not be of a good quality, but however I am happy about it and it's performance.Very light weight, good string strength, controlled handling and all that in such a low price.",5
9716,Worth the money,all about this bat is fine only thing is that the rod from head to grip doesn't feel strong it is flexible butit seems like shaking in grip. otherwise it is perfect,4
9717,Must buy!,Excellent quality product from flipkart.... If u go for leading brands the same quality racket will cost morethan 2000.... Other brands  provides basic biginners racket at this price range .. Strongly recommended  for all buyers..,5
9718,Worth the money...,"Though definitely worth the price (649) because of it's light weight uni-piece graphite body, it's not a professional racket as labelled by Flipkart. The strings are loose and a little short of decent quality. The cover   is good and also the delivery was. Given the need that you need to string them again, 649 may be just the right price. Suggest this for beginners and intermediates...definitely",4
9719,Great product,One of the finest and best product under RS. 1000. Best for daily practice and intermediate players. The provided string tension is also good. The color are  also as well awesome as the racquet.. Overall it's a good product. # Goforit,5
9720,Classy product,Superb racket. I loved it. 90 gram weight. But feel like air. In 800 it compare to Yonex badminton equal to Rs. 2500 rackets.,5
9721,Excellent,"Good one....  worth for money,  carbon,  good flexibility ,  and weight less",5
9722,Classy product,You will really love it.. Super light.. Super flexible,5
9723,Terrific,Nice racket at this price point. The shaft is pretty flexible and the racquet produces powerfull smashes. Wanted to use this as my backup racquet but using this as my primary one keeping Yonex muscle power aside. Recommended for intermediate players. Enjoy the game.,5
9724,Terrific,"awesome badminton as a professional I highly recommend u this just u need to do gutting upto 26 or 28lbs it's completely light weight strong infrastructure ,good rigidity and highly flexible with descent looks and best racquet under 3000 I cab assure that because I have come through using all sorts of racquet",5
9725,Fabulous!,it's a very good racket with low prize .waoo ...encourage u to buy this racket ..as now I'm using this ... awesome racket thankyou flib card,5
9726,Terrific,"A great bat for intermediate, semi-professional players, very light, good grip, enough face width and good string tension. It comes with a good quality cover as well. Its better than decathlon's BR 500, BR 530 which comes at a much higher price",5
9727,Great product,Excellent,5
9728,Classy product,awesome product at this price I just loved it!,5
9729,Just wow!,Super quality.,5
9730,Classy product,"fantastic  badminton racket and very light weight and badminton string very strong , and badminton racket  bag full high quality  bag and full graphite badminton  thanks flipkart .🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗",5
9731,Super!,"Good quality, light weight, adequate string tension  and more",5
9732,Must buy!,awsome...review after 2 monthsexcellent  balanceunstoppble defence great attack...power from high flexand great clear shotfull graphite and light head <85ginbuilt string tension 22lbs can take upto 24lbsfar better than yonex lining racket of price below 2k(u pay 1k for brand name only)go for it without a second thought,5
9733,Fabulous!,No second thoughts just go for it...Quality is very good and worth as a range of 1500 to 2500 other brand rackets,5
9736,Super!,best quality,5
9737,Pretty good,Nice Racquet,4
9738,Mind-blowing purchase,Nice bat ......,5
9739,Fair,very light weight its nice,3
9740,Terrific,very light weight and Good string tension,5
9741,Highly recommended,This is is a very good racquet in this range of 799. It is a steal deal for all of us. The color combination is very nice. You should by this.,5
9742,Just wow!,"Strings are very tough, quite light weight I feel. It is very good for advance and upper.",5
9743,Terrific purchase,nice racquet,5
9744,Brilliant,"Great Racket!The racket is a fully graphite  and very light weight at 799, it is a steal deal. It is far better than Yonex and Li-ning rackets in terms of performance and price! I would highly recommend Adrenex Rackets to all Badminton enthusiasts.",5
9745,Must buy!,Nice 😘 Badmintona🏸 R501,5
9746,Brilliant,superb racket... less weight.. must buy product,5
9747,Highly recommended,"Super lite yet sturdy....made in India .A New start up based company. So it can go to such a low price, these exact features are almost 2× worth in big brands such as Ly-ning and yonex.",5
9748,Fabulous!,Stands on Expectations 😊,5
9749,Wonderful,very very light weight and also very nice in looks,5
9750,Terrific purchase,Awesome badminton ....😊😊👍👍.super quality..fast delivery too.and last but not the least the stringTension is so good that you can hear it's stringing sound ...Worth the price...thank you flipkart for the product..,5
9751,Wonderful,good productbuy it and play as seni professionalgood for new players,4
9752,Excellent,5 STAR⭐Best product in this range. I have been using it for 1 year. There is no problem right now.,5
9754,Wonderful,"good tention near about 20-22 lbs.very light weight, cover is also good. But weight distribution is vary bad.",4
9755,Perfect product!,This is a best product monika sport badminton double shaft,5
9756,Just wow!,Nice 👌👌,5
9759,Could be way better,Bad product,2
9760,Mind-blowing purchase,Love it,5
9761,Expected a better product,The product is not good racets are bended,2
9763,Excellent,Very good prodect,5
9764,Fair,It's not quality as review given..,3
9765,Does the job,In the middle... Not so bad... Good for learner,3
9766,Classy product,Not bad.. But worth for money...,5
9767,Awesome,Good work by delivery boy,5
9769,Very Good,Good quality,4
9770,Terrific purchase,Good products,5
9771,Pretty good,nice products 👍,4
9772,Perfect product!,Very Nice products,5
9775,Wonderful,so good,5
9776,Worst experience ever!,VERY BAD ITEMS  FULL  BROKEN             ITHILUM  NALLATHE  KAKKAN POYIKKODAY,1
9777,Hated it!,Very Very Worst Product.. Waste of Money,1
9779,Pretty good,First thanks to flipkart delivered the item in framed time..good one,4
9781,Just okay,Good product but nat is very poor,3
9782,Simply awesome,It's an amazing product in this price and quality wise superb,5
9783,Decent product,Quality is avarnge,3
9784,Fabulous!,Super.. Perfect handling to play...,5
9785,Could be way better,Not worth,2
9786,Just wow!,Good for beginners,5
9787,Nice,This is good.  product,3
9788,Super!,So nice,5
9789,Absolute rubbish!,"Complete waste of money.Everything is utter cheap quality.Only the outer cardboard box has some real value to it, but other products not even worth a single penny.Worst product ever from Flipkart.",1
9792,Could be way better,Not good average  quality,2
9793,Highly recommended,Nice kit must buy,5
9794,Brilliant,Very awesome,5
9795,Good,For kids it's okay,3
9796,Useless product,Very very bad,1
9797,Fair,Shuttle are very good but cork are worse because it broken in just one day all 10 cork and net is also good,3
9798,Terrific purchase,Excellent,5
9799,Just wow!,Good product as of now,5
9802,Very Good,Super 🥺🥺🥺🥺,4
9803,Good quality product,Value for money -519. /-,4
9804,Terrific,Very good 👍,5
9805,Super!,Nice.,5
9806,Decent product,Average good,3
9807,Wonderful,It is a very good and strong badminton,5
9810,Fair,All is good 😊👍👍👍 but ryaket net not good and cork  is plastic very bad.  ..,3
9813,Very Good,Nice👌👌👌,4
9815,Terrific purchase,Value for money,5
9817,Just okay,Super quality but the strings are below average quality,3
9818,Hated it!,Very bad bat,1
9819,Great product,Nice❤❤❤,5
9821,Perfect product!,Super always gives very nice product Thanks flipkartVery fast delivery Delivered before 2 days of the given date,5
9823,Just okay,Good protect,3
9824,Worst experience ever!,Very bad product waste of money Don't buy this product please,1
9825,Excellent,Vare vare good aitaam,5
9828,Classy product,Very nice,5
9831,Mind-blowing purchase,Its good enough. Worth for money. Also value for money,5
9832,Nice product,"Good product,",4
9833,Hated it!,Worst quality..threads torn out in a week.Shuttle included r of very bad quality.,1
9834,Does the job,Not worth for money.,3
9835,Good,All items are made of low quality material.  But worth the just a combo for this rate is unpredictable. Can be used for homley recreation not perfect for professionals,3
9836,Hated it!,No quality,1
9837,Useless product,Ball is very worst as well as bat horrible things don't order this product,1
9838,Awesome,Great product never ever the best as given by Monika sports really very good product,5
9839,Good,Only the good in this order I felt that the net quality is slightly good and all other items are not good quality especially the corks are given are worst quality.About racquet is is a little bit good than cork.I recommend not to buy it instead you can go for single racquet with low price available in flipkart.THANK YOU,3
9840,Does the job,protect quality low,3
9841,Fabulous!,"Worth for MoneyI really loved it , I suggest all to by this Amazing product",5
9844,Value-for-money,GD NT bad,4
9845,Must buy!,Super Product,5
9846,Worth the money,It meets expectations and good for beginners.,4
9847,Decent product,net is worthless...,3
9848,Good,Just okey,3
9849,Terrific purchase,Good product but  late delivery,5
9850,Mind-blowing purchase,I love this product 😍😍😍i love you filpcart,5
9851,Worst experience ever!,The product full damaged do not buy badminton,1
9852,Fabulous!,Good protect,5
9853,Don't waste your money,Not good bat very bad corks super,1
9855,Terrific,Very good product and this is my third product of Adrenex and from now I am liking it very much because they are cheaper and of very good quality 💖💖💖💖💖💖💖💖💖,5
9856,Wonderful,Very good quality and good product amazing..,5
9857,Fair,Good one. But weight less.,3
9858,Delightful,Price is slightly more according to product quality.Otherwise best for beginners.,4
9859,Super!,Thank you for such a great product.,5
9860,Does the job,"This combo badminton racket set is average for me. The built quality of the strings is poor, they are not too tight. My advice to the buyers to buy this batminton  racket , if you are beginners.",3
9861,Fabulous!,Very good quality. 🎈,5
9862,Really Nice,Nice one,4
9863,Perfect product!,This product was amazing .,5
9864,Waste of money!,"If I speak honestly so I'll suggest don't go for it, if you looking for kids then no issues but if you are senior person above fourteen then please don't buy. You can increase your budget and buy another in the same brand.",1
9865,Value-for-money,Better at the Price,4
9866,Don't waste your money,Product quality need more development,1
9869,Mind-blowing purchase,Nice product. I like it,5
9870,Terrific,Very nice productI like it 😊,5
9871,Classy product,Very nice 🙂,5
9875,Does the job,"I like so much Flipkart,",3
9876,Absolute rubbish!,"Poor racquet.in one racquet t joint was broken but the seller had painted it, to cover the damage.corck can sustain just for one match if u r an intermediate player,advanced players never go for it, you can go for yonex Mavis 200i for least price or 350 for little higher price.",1
9877,Best in the market!,Very nice product.......,5
9880,Really Nice,Very good product it's is suitable for gully badminton,4
9882,Nice,"Value for money. One which I received was having poor string quality, likely to be torn soon.",3
9883,Highly recommended,Pad khalu,5
9885,Simply awesome,Product is nice.delivery boy's attitude is good.,5
9886,Worth every penny,The product supper the romove the coulor I am so happy 🤩🤩,5
9889,Moderate,"When I buy it, it was very zig zag and after 5 days its net broken. Waste of money",2
9890,Not recommended at all,Bad quality thread. It brocken within a week of playing,1
9892,Good quality product,Good for kids level,4
9893,Value-for-money,Value for money,4
9894,Great product,Superb product,5
9896,Nice,Quality is not good,3
9897,Super!,Best under this price range 👍,5
9898,Worth the money,Nyc product.thnks flipkart for all luvly products,4
9900,Just wow!,Fast and good dwlivery.Good  customer service,5
9901,Good quality product,Item is good & item delivery also good,4
9903,Highly recommended,Worth for money and good for beginners,5
9904,Just okay,Only Junior play.,3
9906,Very Good,Nice bats,4
9907,Value-for-money,Was good,4
9910,Pretty good,👌👌super product,4
9911,Just wow!,Nice product only for beginners,5
9914,Nice product,God product for kids,4
9915,Fair,"Average product not so good ,not so bad",3
9916,Perfect product!,It's wonderful,5
9917,Very Good,ok ok,4
9919,Fabulous!,Superb bat & corck,5
9920,Does the job,Not good quality,3
9921,Super!,Good quality products with less price.,5
9924,Could be way better,This product is bad as per the pricing if u think it is like a yonex or lining bad then its no . It has weight of 120/ grams,2
9925,Fabulous!,So nice product in this rate,5
9926,Hated it!,Not a good choice. Thought the quality will be good because of brand by flipkart. The strings are tooooo poor. Within two three shots the strings cut. Don't buy pls...,1
9927,Great product,Best product and the quality is best,5
9928,Wonderful,Good 🥰🥰🥰😘😘😘👍👍👍👍 flipkart thanks 😊😊🌹🌹packing is good,5
9929,Excellent,Good in quality. Nice packaging.Thank you.,5
9931,Very Good,Product is worth,4
9933,Brilliant,It is worth for money  I is very nice product 👌☺,5
9934,Fair,Quality is not that good. Frame appeared to be weak. One bat had bend. Even the replacement had the same issue,3
9937,Worth every penny,Waooo,5
9939,Excellent,Product is good. But delivery is not good,5
9941,Perfect product!,Super quality,5
9942,Waste of money!,Veri bad,1
9944,Perfect product!,Brilliant,5
9946,Excellent,Excellent product 👌,5
9947,Delightful,It is good 😊😊😊☺️☺️☺️,4
9948,Very Good,Very good and usefull for playing bats are in good conditon. Fast delivery.,4
9949,Very poor,Verry bad quality I received damaged item.,1
9950,Not good,"One piece are damaged ,when you packing items you are not quality check....this is money waist",2
9953,Wonderful,Great for the price,4
9955,Worth every penny,"Very good product , my daughter is very happy with this , also got delivery very fast but the colour I got was different picture is black badminton but got yellow one , but brand is the same",5
9956,Excellent,SUPERB PRODUCT MOST BUY THIS 👍👍👍,5
9958,Classy product,"I ordered for my son.Good and strong product. My son  liked this, happy😊. Thanku flipkart. Bhadrak, sabita.",5
9959,Pretty good,Good praduct strong praduct.,4
9960,Wonderful,good product..... worth for money,5
9961,Perfect product!,superb,5
9963,Must buy!,Vary good product quality,5
9964,Excellent,Super Product Thank Youuuuuuu Flipkart Thanks thanks alot.👌👌👌👌👌👌👌👌👌👌👌👌👌👌👍👍👍👍👍👍👍👍👍👏👏👏👏👏👏👏🙏🙏🙏🙏🙏🙏🙏,5
9965,Nice product,nice prodak flipcard,4
9966,Wonderful,Very nice. Costemer very happy,5
9968,Terrific purchase,👌 cool OK,5
9969,Must buy!,Super product thinks flipkart👌👌👌👌,5
9971,Mind-blowing purchase,It's amazing,5
9972,Did not meet expectations,I received use badminton very bad quality,1
9973,Fabulous!,Best in this price,5
9975,Pretty good,slightly good,4
9976,Good choice,Nice product it is better then i think,4
9979,Must buy!,Wao so nice,5
9980,Does the job,just wow,3
9982,Excellent,This is so amazing...I am very happy..thanku flipkart ⚡❤️,5
9983,Not good,Not good quality,2
9984,Mind-blowing purchase,"Price is very low, and product also nice for this price",5
9986,Just okay,it's very good,3
9987,Classy product,My daughter is very happy with connect Flipkart,5
9988,Decent product,its ok daily use,3
9989,Terrific,very nice,5
9990,Perfect product!,Brilliant product,5
9991,Fabulous!,Good product I love it lot,5
9992,Nice,Nice.... weight less ...,3
9993,Nice,Not bad nice product,3
9994,Terrible product,Thanks,1
9995,Worst experience ever!,Very very poor quality,1
9996,Hated it!,Jest ok,1
9998,Utterly Disappointed,Very Bad,1
9999,Utterly Disappointed,"Worst poroduct, waist of money, deliverd with bend handle, very low quality material used",1
10000,Not recommended at all,Packing not good,1
10001,Unsatisfactory,Damaged ProductDon't Buy,1
10002,Did not meet expectations,Bad quality shuttle....no use...,1
10003,Unsatisfactory,Very very bad and waste for money 😣😖,1
10004,Did not meet expectations,Ok,1
10005,Moderate,Quality is below avarage. The handle matarial is very bad,2
10006,Worth every penny,It's gud but that bats are bendded,5
10007,Fair,2 rackets r not same. One is as shown in pic. Other is not good.,3
10009,Waste of money!,Quality is not good,1
10011,Terrific,Quality product,5
10012,Waste of money!,very very very very bad☹️☹️,1
10013,Best in the market!,Best.. products... According to price ✌️,5
10014,Not good,The shuttlecock are very poor in quality and the badminton is very heavy,2
10015,Worst experience ever!,Very bad quality...never buy it,1
10016,Simply awesome,Superb product... Literally did not expect such type of badminton😍. Shuttles are of ok ok quality. But Rackets are very good👍🥰... Must buy. Thank you flipkart and the seller.,5
10017,Unsatisfactory,"Worth of money , broke after 1 week",1
10018,Great product,It's super product,5
10019,Classy product,Very nice and strong product 👌👌 l am so happy 😘😘,5
10020,Decent product,"It use only  for  time pass, and whight issue",3
10021,Perfect product!,If they are packed it seems it is interesting but i love them,5
10023,Really Nice,Nice😉,4
10024,Highly recommended,Quality is satisfying good product but one cover is needed,5
10026,Terrible product,Very poor and cheap quality,1
10028,Unsatisfactory,Waste product,1
10029,Perfect product!,Awesome 👍,5
10030,Awesome,Very nice and strong product,5
10031,Good choice,Good product 👍,4
10034,Horrible,Damage product and chege very bad prodect,1
10035,Value-for-money,Worth money,4
10036,Must buy!,"Fabulous badminton set with 6 pcs racket.,for boys and men useful for daily usage., thanks to flipkart",5
10038,Mind-blowing purchase,So nice product must buy it🐱🐱,5
10039,Very poor,Too badplease dont buy this productpoor qualitywaste of time and money,1
10040,Terrible product,Worest product please buy,1
10041,Very poor,Bad product Low quality,1
10042,Horrible,Don’t buy this product because the wire of the shuttle has broken in a week....so please don’t buy...,1
10043,Utterly Disappointed,Bad  quality,1
10044,Could be way better,Packing was so poor...carton was teared &,2
10045,Absolute rubbish!,Waste of money,1
10046,Highly recommended,Nice product at this price range,5
10047,Just okay,product is good but one of them was damaged,3
10048,Brilliant,Super product,5
10049,Worth every penny,Super it delivered fast and super produck worth for money with low price,5
10051,Delightful,Good product 👍👍,4
10053,Good choice,It 's good,4
10054,Good,Excellent product.,3
10055,Simply awesome,too good and to lighter in weight i have win a badminton match with this badminton and i have win that match my children was like it,5
10056,Good quality product,very nice,4
10057,Good choice,nice and good quality,4
10059,Awesome,fabulous and amazing product,5
10060,Highly recommended,Very nice racquet,5
10061,Worth the money,Super..go through it.....,4
10062,Excellent,Osm lke as a picture,5
10063,Wonderful,nice rackt zr100,5
10065,Terrific,Very Nice Racket,5
10066,Worth every penny,"absolutely perfect ,the tension in strings are elegant to play perfect smash,it's isometric shape ,very nyc experience with it",5
10067,Don't waste your money,product  bend,1
10068,Highly recommended,Just wow,5
10070,Utterly Disappointed,The string was broken in one day and the bat shape also not acceptable,1
10071,Not recommended at all,Shuttelcock pierce through racket so how can you play badminton with this racket ? Don't buy please ! I say please ! Worst product ever I order in my life !,1
10072,Not good,"The original quality looks good. But it was bent, and shape of racquet changed. Seems to be a problem with the delivery service.",2
10074,Very poor,plz dnt buy this.. my humble request the product is very bad if u play 2 r 3 game definitely the bat will broke,1
10075,Delightful,Quite good 👍,4
10076,Mind-blowing purchase,"Good strength,and very light  weight.",5
10077,Wonderful,nice ?,5
10078,Value-for-money,good quality!let's see how long it lasts$$$$$$,4
10079,Brilliant,nice.,5
10080,Great product,Super Rackets and Best for Playing Big Shots,5
10082,Horrible,This is my experience after playing for 2 hours every day for 7 days. The weight is nice and  light. Also the paint quality looks good. The balance is center weighted and not recommended for smashes. But the biggest problem is the frame got skewed a little just by playing. I  never had a clash or never hit anything with the racquet. So the build quality is poor. Don't buy it.Not recommended,1
10083,Very poor,Please don't buy this product i have ordered very wrost product in my entire life shiitt😡😡😡😡,1
